Title,Date
"Sin senos sí hay paraíso: Season 1: Episode 1","8/3/18"
"Veronica","8/3/18"
"Good Girls: Season 1: Shutdown","8/1/18"
"Good Girls: Season 1: Special Sauce","8/1/18"
"Good Girls: Season 1: A View From the Top","8/1/18"
"Good Girls: Season 1: Summer of the Shark","8/1/18"
"This Is 40","8/1/18"
"De Kleine Vampier","7/29/18"
"Jessie: Season 4: Rossed at Sea: Part 1","7/28/18"
"Jessie: Season 4: Bye Bye Bertie","7/28/18"
"Jessie: Season 4: Driving Miss Crazy","7/28/18"
"Lemony Snicket's A Series of Unfortunate Events","7/28/18"
"Sin senos sí hay paraíso: Season 2: El que la hace, la paga","7/28/18"
"Train to Busan","7/28/18"
"The Warning","7/26/18"
"Good Girls: Season 1: Taking Care of Business","7/26/18"
"Dirty Grandpa","7/26/18"
"Sin senos sí hay paraíso: Season 2: Dulce justicia","7/26/18"
"Sin senos sí hay paraíso: Season 2: Virginia escribe su destino","7/25/18"
"Good Girls: Season 1: Atom Bomb","7/24/18"
"GODZILLA City on the Edge of Battle","7/24/18"
"Duck Duck Goose","7/22/18"
"Good Girls: Season 1: Borderline","7/22/18"
"Good Girls: Season 1: Mo Money Mo Problems","7/22/18"
"Good Girls: Season 1: Pilot","7/22/18"
"Bad Neighbours 2","7/22/18"
"Without a Paddle","7/22/18"
"The Pacifier","7/21/18"
"Little Man","7/21/18"
"The Incredibles","7/21/18"
"Warcraft","7/20/18"
"The Good Place: Season 1: What We Owe to Each Other","7/20/18"
"The Good Place: Season 1: Category 55 Emergency Doomsday Crisis","7/20/18"
"Finding Mr. Right","7/20/18"
"Romina","7/20/18"
"Hunting Season","7/20/18"
"Ladronas de almas","7/20/18"
"Insidious: Chapter 3","7/20/18"
"Zoolander 2","7/20/18"
"Definitely, Maybe","7/20/18"
"Barbie Life in the Dreamhouse: Season 1: Best of Sisters","7/20/18"
"Barbie Life in the Dreamhouse: Season 1: The Amaze Chase","7/20/18"
"The Boss","7/20/18"
"Mr. Bean's Holiday","7/20/18"
"The Good Place: Season 1: Jason Mendoza","7/20/18"
"The Good Place: Season 1: Tahani Al-Jamil","7/20/18"
"The Good Place: Season 1: Flying","7/18/18"
"The Good Place: Season 1: Everything Is Fine","7/18/18"
"Barbie Life in the Dreamhouse: Season 1: Best of Barbie","7/17/18"
"How It Ends","7/17/18"
"Silvana Sin Lana: Season 1: ¿Divorcio?","7/17/18"
"Silvana Sin Lana: Season 1: Un paso al costado","7/17/18"
"Silvana Sin Lana: Season 1: A punto de volarse","7/17/18"
"Silvana Sin Lana: Season 1: En son de paz","7/17/18"
"Silvana Sin Lana: Season 1: Stella presiona a Manuel","7/17/18"
"Happy","7/17/18"
"Inside the World’s Toughest Prisons: Season 2: Brazil: The Gang Prison","7/16/18"
"Matilda","7/16/18"
"The Legacy of a Whitetail Deer Hunter","7/15/18"
"Functional Fitness","7/13/18"
"The Skin of the Wolf","7/12/18"
"Tomorrowland","7/12/18"
"Sacred Games: Season 1: Ashwathama ","7/12/18"
"The Mist: Season 1: Pilot","7/12/18"
"Soy Luna: Season 2: Episode 78","7/12/18"
"Soy Luna: Season 2: Episode 77","7/12/18"
"Soy Luna: Season 2: Episode 75","7/12/18"
"Soy Luna: Season 2: Episode 51","7/12/18"
"Soy Luna: Season 2: Episode 38","7/12/18"
"Soy Luna: Season 2: Episode 2","7/12/18"
"Miraculous: Tales of Ladybug & Cat Noir: Season 1: The Bubbler","7/10/18"
"The 100: Season 1: Earth Skills","7/8/18"
"The 100: Season 1: Pilot","7/8/18"
"3%: Season 2: Chapter 10: Blood","7/8/18"
"Kiss Me First: Season 1: Make It Stop","7/8/18"
"Kiss Me First: Season 1: She Did Something","7/8/18"
"3%: Season 2: Chapter 09: Necklace","7/8/18"
"3%: Season 2: Chapter 08: Frogs","7/8/18"
"ARQ","7/7/18"
"Ajji","7/7/18"
"El patrón, radiografía de un crimen","7/7/18"
"3%: Season 2: Chapter 07: Fog","7/7/18"
"3%: Season 2: Chapter 06: Bottles","7/7/18"
"3%: Season 2: Chapter 05: Lamp","7/7/18"
"The Witch","7/7/18"
"Jessie: Season 4: What a Steal","7/5/18"
"Jessie: Season 4: But Africa Is So...Fari","7/5/18"
"Jessie: Season 3: No Money, Mo' Problems","7/5/18"
"Jessie: Season 3: Between the Swoon and New York City","7/5/18"
"Jessie: Season 3: Coffee Talk","7/5/18"
"Jessie: Season 3: The Telltale Duck","7/5/18"
"Jessie: Season 3: Spaced Out","7/5/18"
"Jessie: Season 3: Lights, Camera, Distraction!","7/5/18"
"Jessie: Season 3: Morning Rush","7/5/18"
"Jessie: Season 3: Acting with the Frenemy","7/5/18"
"3%: Season 2: Chapter 04: Napkin","7/4/18"
"3%: Season 2: Chapter 03: Static","7/4/18"
"The Tuxedo","7/2/18"
"Where Is Good?","7/2/18"
"3%: Season 2: Chapter 02: Toaster","7/2/18"
"Secret City: Season 1: A Donation to the Struggle","7/2/18"
"Dirt","7/2/18"
"3%: Season 2: Chapter 01: Mirror","7/1/18"
"3%: Season 1: Chapter 08: Button","7/1/18"
"TAU","7/1/18"
"Daddy's Home","7/1/18"
"13 Reasons Why: Season 1: Tape 1, Side A","6/30/18"
"Room","6/30/18"
"3%: Season 1: Chapter 07: Capsule","6/30/18"
"3%: Season 1: Chapter 06: Glass","6/30/18"
"3%: Season 1: Chapter 05: Water","6/30/18"
"3%: Season 1: Chapter 04: Gateway","6/30/18"
"3%: Season 1: Chapter 03: Corridor","6/29/18"
"3%: Season 1: Chapter 02: Coins","6/29/18"
"3%: Season 1: Chapter 01: Cubes","6/29/18"
"Soy Luna: Season 2: Episode 7","6/28/18"
"Soy Luna: Season 1: Episode 80","6/28/18"
"Soy Luna: Season 2: Episode 80","6/27/18"
"Soy Luna: Season 2: Episode 79","6/27/18"
"Mirror Mirror","6/27/18"
"The Rain: Season 1: Trust Your Instincts","6/26/18"
"Masterminds","6/25/18"
"Master of None: Season 1: Plan B","6/25/18"
"Güelcom Tu Colombia","6/25/18"
"The Rain: Season 1: Don't Talk to Strangers","6/24/18"
"The Rain: Season 1: Keep Your Friends Close","6/24/18"
"The Rain: Season 1: Have Faith","6/24/18"
"The Rain: Season 1: Trust No One","6/24/18"
"Madame Bovary","6/23/18"
"The Rain: Season 1: Avoid the City","6/23/18"
"Barbie Life in the Dreamhouse: Season 1: Best of Ken","6/23/18"
"The Rain: Season 1: Stay Together","6/23/18"
"The Rain: Season 1: Stay Inside","6/23/18"
"Barbie Life in the Dreamhouse: Season 1: Best of Family","6/23/18"
"Urge","6/23/18"
"Jessie: Season 3: Creepy Connie 3: The Creepening","6/23/18"
"Jessie: Season 3: Snack Attack","6/23/18"
"La Esclava Blanca: Season 1: Episode 28","6/23/18"
"Sin senos sí hay paraíso: Season 2: La corona tiene precio","6/23/18"
"Sin senos sí hay paraíso: Season 2: Catalina se une a la TEA","6/23/18"
"Sin senos sí hay paraíso: Season 2: Nace Virginia Fernández","6/23/18"
"Sin senos sí hay paraíso: Season 2: Entre suspicacias y trampas","6/23/18"
"Silvana Sin Lana: Season 1: Comprometidos","6/23/18"
"Derren Brown: Miracle","6/22/18"
"Sin senos sí hay paraíso: Season 2: Rescate sangriento","6/21/18"
"Lucifer: Season 2: Lady Parts","6/21/18"
"Lucifer: Season 2: Sin-Eater","6/21/18"
"Mortdecai","6/20/18"
"Los Oriyinales","6/20/18"
"Barbie Life in the Dreamhouse: Season 1: Best of Friends","6/18/18"
"Cargo","6/17/18"
"Sunday's Illness","6/17/18"
"Set It Up","6/17/18"
"7 años","6/16/18"
"The Breadwinner","6/16/18"
"Ibiza","6/16/18"
"Jessie: Season 3: Where's Zuri?","6/12/18"
"Jessie: Season 3: Help Not Wanted","6/12/18"
"Jessie: Season 3: From the White House to Our House","6/12/18"
"Lego Friends: Season 1: New Girl in Town","6/12/18"
"Barbie Life in the Dreamhouse: Season 1: Best of Dreamhouse","6/12/18"
"Barbie Life in the Dreamhouse: Season 1: Perf Pool Party & Trapped in the Dreamhouse","6/12/18"
"Lucifer: Season 2: Liar, Liar, Slutty Dress on Fire","6/11/18"
"Lucifer: Season 2: Everything's Coming Up Lucifer","6/11/18"
"Lucifer: Season 1: Take Me Back to Hell","6/11/18"
"Lucifer: Season 1: A Priest Walks into a Bar","6/11/18"
"Lucifer: Season 1: Et Tu, Doctor?","6/11/18"
"Lucifer: Season 1: Wingman","6/11/18"
"Lucifer: Season 1: Favorite Son","6/11/18"
"Lucifer: Season 1: Sweet Kicks","6/11/18"
"Lucifer: Season 1: Manly Whatnots","6/11/18"
"Lucifer: Season 1: The Would-Be Prince of Darkness","6/11/18"
"Lucifer: Season 1: Lucifer, Stay. Good Devil.","6/11/18"
"Lucifer: Season 1: Pilot","6/11/18"
"Amityville: The Awakening","6/11/18"
"3 Türken & ein Baby","6/10/18"
"José José, el príncipe de la canción: Season 1: Persiguiendo la nave del éxito","6/10/18"
"Christmas Inheritance","6/9/18"
"Alex Strangelove","6/9/18"
"The Red Thread","6/9/18"
"Rip Tide","6/8/18"
"Friday the 13th","6/8/18"
"Friday the 13th: Part 7: The New Blood","6/8/18"
"The Boy in the Striped Pajamas","6/7/18"
"Amateur","6/7/18"
"Vikings: Season 1: Trial","6/6/18"
"Vikings: Season 1: Dispossessed","6/6/18"
"Vikings: Season 1: Wrath of the Northmen","6/6/18"
"Vikings: Season 1: Rites of Passage","6/6/18"
"Child's Play 2","6/5/18"
"Child's Play 3","6/5/18"
"First They Killed My Father","6/4/18"
"Alias Grace: Limited Series: Part 6","6/4/18"
"Alias Grace: Limited Series: Part 5","6/4/18"
"Alias Grace: Limited Series: Part 4","6/4/18"
"Alias Grace: Limited Series: Part 3","6/4/18"
"Alias Grace: Limited Series: Part 2","6/4/18"
"Alias Grace: Limited Series: Part 1","6/4/18"
"Jurassic World","6/3/18"
"Hachi: A Dog's Tale","6/3/18"
"Sara's Notebook","6/3/18"
"Ricardo Quevedo: Hay gente así","6/3/18"
"No estoy loca","6/3/18"
"Bleeding Heart","6/3/18"
"Falcon Rising","6/3/18"
"Soy Luna: Season 1: Episode 5","6/3/18"
"Soy Luna: Season 1: Episode 4","6/3/18"
"The Kissing Booth","6/3/18"
"Cinderella","6/3/18"
"Game Over, Man!","6/1/18"
"Vikings: Season 4: The Reckoning","6/1/18"
"No Country for Old Men","5/31/18"
"Bunk'd: Season 2: Dance in My Pants","5/30/18"
"Bunk'd: Season 2: Griff Is in the House!","5/30/18"
"Peppa Pig: Season 4: Hospital / Spring / Miss Rabbit’s Helicopter / Baby Alexander","5/30/18"
"Barbie Life in the Dreamhouse: Season 1: Best of Pets","5/30/18"
"Barbie Life in the Dreamhouse: Season 1: Best of Malibu","5/30/18"
"Barbie Life in the Dreamhouse: Season 1: Sister's Fun Day","5/30/18"
"Barbie Life in the Dreamhouse: Season 1: Best of Fashion","5/30/18"
"Hot Bot","5/28/18"
"Bunk'd: Season 1: Xander Says Goodbye","5/28/18"
"Bunk'd: Season 1: Live from Camp Kikiwaka","5/28/18"
"Mother's Day","5/27/18"
"Black Mirror: Season 3: Hated in the Nation","5/27/18"
"¿Usted no sabe quién soy yo? 2","5/27/18"
"The Amazing Spider-Man 2","5/24/18"
"Win It All","5/23/18"
"Explained: Season 1: Monogamy","5/23/18"
"Shutter Island","5/23/18"
"Laggies","5/23/18"
"Big Eyes","5/22/18"
"Take Every Wave: The Life of Laird Hamilton","5/22/18"
"Lost in Space: Season 1: Danger, Will Robinson","5/22/18"
"Lost in Space: Season 1: Resurrection","5/22/18"
"Lost in Space: Season 1: Trajectory","5/22/18"
"Lost in Space: Season 1: Pressurized","5/22/18"
"Lost in Space: Season 1: Eulogy","5/22/18"
"Lo más sencillo es complicarlo todo","5/22/18"
"Zodiac","5/22/18"
"Frontier: Season 1: A Kingdom Unto Itself","5/21/18"
"The Invisible Guest","5/21/18"
"The Meyerowitz Stories (New and Selected)","5/21/18"
"Sisters","5/20/18"
"Beautiful Creatures","5/20/18"
"Evil Genius: the True Story of America's Most Diabolical Bank Heist: Season 1: Part 3: The Suspects","5/20/18"
"Evil Genius: the True Story of America's Most Diabolical Bank Heist: Season 1: Part 2: The Frozen Body","5/20/18"
"Evil Genius: the True Story of America's Most Diabolical Bank Heist: Season 1: Part 1: The Heist","5/20/18"
"The Voices","5/20/18"
"Kickboxer: Retaliation","5/19/18"
"The Cabin in the Woods","5/19/18"
"Perfect Strangers","5/19/18"
"Vikings: Season 4: On the Eve","5/18/18"
"Vikings: Season 4: Revenge","5/18/18"
"Vikings: Season 4: The Great Army","5/18/18"
"Vikings: Season 4: Crossing","5/14/18"
"Vikings: Season 4: All His Angels","5/14/18"
"Vikings: Season 4: In the Uncertain Hour Before the Morning","5/14/18"
"Vikings: Season 4: Two Journeys","5/14/18"
"Vikings: Season 4: The Vision","5/14/18"
"Anon","5/14/18"
"Pablo Escobar, el patrón del mal: Season 1: Episode 1","5/14/18"
"Rodeo & Juliet","5/14/18"
"I'm in Love with a Church Girl","5/14/18"
"Gabo: The Creation of Gabriel García Márquez","5/14/18"
"A Walk in the Woods","5/14/18"
"Jessie: Season 4: The Ghostess with the Mostest","5/14/18"
"A Thousand Words","5/13/18"
"Si saben cómo me pongo ¿pá qué me invitan?","5/13/18"
"The Best of Me","5/13/18"
"Thi Mai","5/13/18"
"Into the Woods","5/13/18"
"You're Not You","5/13/18"
"The Fundamentals of Caring","5/13/18"
"Grand Hotel: Season 1: Part 1","5/13/18"
"Lost in Space: Season 1: Transmission","5/12/18"
"Lost in Space: Season 1: The Robinsons Were Here","5/12/18"
"Pocoyo: Season 1: Fetch Loula Fetch! / A Little Cloud / A Present for Elly / Pocoyo Dance","5/12/18"
"Pocoyo: Season 1: Umbrella, Umbrella / Drum Roll Please / Swept Away / Who's on the Phone?","5/12/18"
"Toc Toc","5/12/18"
"Holy Goalie","5/12/18"
"Soy Luna: Season 1: Episode 3","5/12/18"
"Soy Luna: Season 1: Episode 2","5/12/18"
"Soy Luna: Season 1: Episode 1","5/12/18"
"Vikings: Season 4: The Outsider","5/10/18"
"Vikings: Season 4: The Last Ship","5/10/18"
"Silvana Sin Lana: Season 1: Al fin, juntos","5/10/18"
"Silvana Sin Lana: Season 1: Chivis en la ruina","5/10/18"
"The Week Of","5/9/18"
"Vikings: Season 4: Death All 'Round","5/8/18"
"Vikings: Season 4: Portage","5/7/18"
"Secret in Their Eyes","5/7/18"
"Money Heist: Part 1: Episode 5","5/6/18"
"Money Heist: Part 1: Episode 4","5/6/18"
"Lost in Space: Season 1: Infestation","5/6/18"
"Lost in Space: Season 1: Diamonds In The Sky","5/6/18"
"Lost in Space: Season 1: Impact","5/6/18"
"Naruto: Season 1: Enter: Naruto Uzumaki!","5/6/18"
"Gold Stars: The Story of the FIFA World Cup Tournaments: Season 1: Part 1","5/6/18"
"Monkey Kingdom","5/6/18"
"Candy Jar","5/6/18"
"Trump: An American Dream: Season 1: Manhattan","5/6/18"
"Sin senos sí hay paraíso: Season 2: Mariana entra en trance","5/5/18"
"Sin senos sí hay paraíso: Season 2: Una rebelde e ingenua","5/5/18"
"Sin senos sí hay paraíso: Season 2: Adolescente perdida","5/5/18"
"Sin senos sí hay paraíso: Season 2: El juego de La Diabla","5/5/18"
"Sin senos sí hay paraíso: Season 2: La Diabla arma su ejercito","5/5/18"
"Sin senos sí hay paraíso: Season 2: Terreno desconocido","5/5/18"
"Sin senos sí hay paraíso: Season 2: Furia desatada","5/5/18"
"Sin senos sí hay paraíso: Season 2: Madre angustiada","5/5/18"
"Sin senos sí hay paraíso: Season 2: El Titi las paga","5/5/18"
"Sin senos sí hay paraíso: Season 2: Una fría despedida","5/5/18"
"The Lovely Bones","5/5/18"
"Piranha","5/3/18"
"Peppa Pig: Season 2: Stars / Daddy Pig's Birthday / The Sleepover / Cold Winter's Day","5/3/18"
"Vikings: Season 4: The Profit and the Loss","5/2/18"
"Vikings: Season 4: What Might Have Been","5/2/18"
"The Innocents","5/2/18"
"Jessie: Season 3: Jessie's Aloha Holidays with Parker and Joey: Part 2","5/2/18"
"American Experience: Tesla","5/1/18"
"My Perfect Romance","5/1/18"
"Bir Baba Hindu","5/1/18"
"The New Legends of Monkey: Season 1: Hope Must Never Die","5/1/18"
"The Eagle","5/1/18"
"Deepak Chopra: The Seven Spiritual Laws of Success","4/29/18"
"Vikings: Season 4: Promised","4/29/18"
"Ride Along 2","4/29/18"
"Expedition Happiness","4/28/18"
"Tarzan","4/27/18"
"Money Heist: Part 1: Episode 3","4/26/18"
"Money Heist: Part 1: Episode 2","4/26/18"
"Money Heist: Part 1: Episode 1","4/26/18"
"Psychokinesis","4/26/18"
"Vikings: Season 4: Mercy","4/24/18"
"Vikings: Season 4: Kill the Queen","4/24/18"
"Jessie: Season 4: Rossed at Sea: Part 3","4/23/18"
"La Esclava Blanca: Season 1: Episode 27","4/23/18"
"La Esclava Blanca: Season 1: Episode 26","4/23/18"
"La Esclava Blanca: Season 1: Episode 25","4/23/18"
"La Esclava Blanca: Season 1: Episode 24","4/23/18"
"La Esclava Blanca: Season 1: Episode 23","4/23/18"
"La Esclava Blanca: Season 1: Episode 22","4/23/18"
"La Esclava Blanca: Season 1: Episode 21","4/23/18"
"La Esclava Blanca: Season 1: Episode 20","4/23/18"
"La Esclava Blanca: Season 1: Episode 19","4/23/18"
"La Esclava Blanca: Season 1: Episode 15","4/23/18"
"La Esclava Blanca: Season 1: Episode 11","4/23/18"
